manufacturer,model,drive,cylinders,transmission,fuel
mercedes-benz,sl-class,rwd,12,automatic,gas
bmw,328xi wagon,4wd,6,automatic,gas
toyota,cressida,rwd,6,automatic,gas
kia,sportage ex,4wd,4,automatic,gas
ford,various to choose from,4wd,5,automatic,other
subaru,impreza outback sport awd,fwd,8,manual,gas
rover,sport 4x4 - hse lux - 4dr suv - clean carfax,4wd,8,automatic,gas
ford,mustan v6 coupe,rwd,6,automatic,gas
toyota,venza awd,4wd,6,automatic,gas
hyundai,tucson sel,fwd,4,automatic,gas
audi,a4 2.0 tfsi auto ultra prem,fwd,4,automatic,gas
mercedes-benz,280 se,rwd,6,automatic,gas
mercedes-benz,Peterbilt 379,rwd,6,manual,diesel
mini,Scion tC,fwd,8,manual,gas
dodge,2007 f350 superduty,rwd,8,automatic,diesel
toyota,Benz Truck,fwd,6,automatic,gas
audi,q5 3.0t premium plus sport,4wd,6,automatic,gas
toyota,tacoma lifted trd sport,4wd,6,automatic,gas
jeep,liberty 75 anniversary,4wd,6,automatic,gas
chevrolet,Lotus Elite,rwd,4,manual,gas
ford,fiesta se hatchback 4d,fwd,8,automatic,gas
ram,oldsmobile cutlass supreme,rwd,6,automatic,gas
dodge,stratus sdn,fwd,6,automatic,gas
mercedes-benz,gls 550 4matic,4wd,6,automatic,other
chevrolet,trax lt awd,4wd,4,automatic,gas
mazda,cx-5 grand touring awd,4wd,6,automatic,gas
mercury,villager estate edition,fwd,6,automatic,gas
mercury,sable premier,fwd,6,automatic,gas
mazda,mazda6 sport wagon,fwd,4,automatic,gas
lincoln,mkz hybrid select sedan,fwd,6,automatic,gas
ram,slt,fwd,8,automatic,gas
volkswagen,jetta r-line fwd gas,fwd,8,automatic,gas
bmw,2 series 228i,rwd,4,manual,gas
gmc,sierra at4,4wd,8,automatic,gas
subaru,outback 2.5i premium awd,fwd,8,automatic,gas
porsche,hummer h2,4wd,8,automatic,gas
hyundai,sonata base,fwd,6,automatic,gas
toyota,tundra double cab limited,fwd,8,automatic,other
gmc,yukon denali sport utility,rwd,8,automatic,other
volkswagen,golf r 4motion,fwd,6,automatic,other
rover,range evoque p250,4wd,6,automatic,other
dodge,magnum se wagon 2-owner great service history,rwd,6,automatic,gas
jeep,cherokee overland,4wd,6,automatic,gas
chevrolet,SILVERADO 1500 LT,4wd,6,automatic,gas
bmw,3 series 335d sedan 4d,rwd,6,automatic,other
chevrolet,s-10,rwd,8,automatic,gas
porsche,cayenne s awd v8 suv,rwd,4,automatic,gas
hyundai,sonata sport 2.0t sedan,fwd,8,automatic,gas
chevrolet,rx,fwd,8,automatic,other
honda,civic lx sedan cvt,fwd,8,automatic,gas
volkswagen,westfalia,rwd,4,automatic,gas
ram,scion xb,fwd,4,manual,diesel
audi,q5 2.0t quattro premium pl,4wd,4,automatic,gas
ford,NISSAN/INFINITI-G35,4wd,8,automatic,gas
ford,focus titanium hatchback 4d,fwd,6,automatic,other
subaru,outback rltd,4wd,6,automatic,gas
ford,f-250 super duty lariat crew 6.7 liter,4wd,8,automatic,other
rover,gs 350 sedan 4d,fwd,8,automatic,gas
lincoln,mkz reserve awd,4wd,4,automatic,gas
lincoln,navigator l black label,4wd,8,automatic,gas
infiniti,qx50 essential sport,fwd,8,automatic,other
toyota,"highlander limited platinum awd, w/ panorama roof",4wd,6,automatic,gas
chevrolet,es330,rwd,6,automatic,gas
volkswagen,tiguan s,4wd,4,automatic,gas
ford,escape s 4dr suv,fwd,4,automatic,gas
lexus,ls460 awd,fwd,6,automatic,gas
toyota,tacoma 4dr double cab trd,4wd,8,automatic,gas
ram,freightliner mt45 step van,rwd,4,automatic,diesel
mitsubishi,3000 gt sl,rwd,4,manual,gas
kia,forte koup sx coupe 2d,fwd,4,automatic,gas
ram,2500 laramie diesel truck,4wd,6,automatic,diesel
dodge,dakota xlt,fwd,6,automatic,gas
toyota,Willys M38,rwd,4,manual,gas
toyota,smart Fortwo electric drive Pas,rwd,8,automatic,electric
ford,versa,rwd,8,automatic,gas
ford,e350 ambulance,rwd,6,automatic,diesel
nissan,sentra sl sedan 4d,fwd,8,automatic,gas
mercedes-benz,c-class c 250,4wd,4,automatic,other
mercedes-benz,e350 low miles,fwd,6,automatic,gas
subaru,impreza sedan 4d,fwd,5,automatic,gas
audi,a7 quattro awd gas sedan,4wd,8,automatic,gas
chevrolet,cruze rs,fwd,4,automatic,gas
toyota,4runner trd pro,4wd,6,automatic,gas
bmw,1968 camaro,rwd,8,manual,gas
lexus,International TerraStar,rwd,8,automatic,diesel
ford,coupe,rwd,6,automatic,gas
buick,lacrosse cxl,fwd,6,automatic,gas
ford,ITI QX80,4wd,8,automatic,gas
chrysler,cars and suvs,4wd,8,automatic,gas
honda,accord coupe 3.0,fwd,6,automatic,gas
fiat,Scion xD Hatchback 4D,fwd,6,automatic,gas
chevrolet,bolt ev lt hatchback,rwd,8,automatic,other
volkswagen,golf sportwagen tdi s,fwd,6,automatic,gas
ram,1500 slt 1owner 4x4 5.7l well maint runs&drive great!!!,4wd,8,automatic,gas
honda,odyssey xlt,fwd,6,automatic,gas
volvo,xc90 t8 inscription 1300 miles,4wd,8,automatic,gas
kia,stinger gt2 sedan 4d,rwd,6,automatic,other
audi,plymouth scamp,4wd,8,automatic,gas
ford,explorer sport automatic,4wd,6,automatic,gas
chevrolet,c1500,rwd,8,automatic,gas
chrysler,300s awd,4wd,6,automatic,gas
ford,e150 conversion van,rwd,8,automatic,gas
chevrolet,Plym DUSTER 2dr,rwd,6,automatic,gas
toyota,supra premium rwd gas,rwd,6,automatic,gas
honda,civic sdn lx,fwd,4,automatic,gas
ford,f150 xl supercab 4x4,4wd,8,automatic,gas
chevrolet,4runner,rwd,4,automatic,gas
mini,cooper s e countryman,4wd,8,automatic,hybrid
ram,q7,rwd,4,automatic,diesel
audi,1967 International,rwd,4,manual,gas
mercury,capri,fwd,4,automatic,gas
nissan,Kenworth T370,4wd,4,automatic,gas
porsche,cayenne s sport utility,rwd,8,automatic,gas
kia,forte koup ex coupe 2d,fwd,4,automatic,gas
nissan,altima s fwd gas sedan,fwd,6,automatic,gas
harley-davidson,davidson softail duece,4wd,4,automatic,gas
subaru,forester 2.5x premium awd,4wd,4,automatic,gas
infiniti,q50 3.7 sedan 4d,rwd,8,automatic,other
bmw,x6 xdrive35i,4wd,4,automatic,gas
hyundai,azera limited,rwd,6,automatic,gas
dodge,caravan cargo,fwd,4,automatic,gas
jeep,wrangler sport x unlimited,4wd,6,automatic,gas
ford,f-350 xl extended cab util,4wd,8,automatic,diesel
nissan,rogue awd,fwd,4,automatic,gas
toyota,tacoma 2wd trd sport double cab 5' bed v6 at (natl),rwd,6,automatic,gas
ford,grand caravan se,4wd,8,automatic,gas
porsche,cayenne s hybrid,4wd,6,automatic,hybrid
lexus,ls460,4wd,8,automatic,gas
subaru,impreza 2.0i premium,fwd,4,automatic,other
subaru,impreza wrx sport wagon,4wd,6,automatic,gas
bmw,4 series 430i xdrive coupe,rwd,4,automatic,gas
subaru,impreza wagon,rwd,8,automatic,gas
jeep,wrangler t-rock willys,4wd,6,automatic,other
chevrolet,nova,rwd,8,automatic,gas
bmw,3-series m3 convertible,rwd,4,automatic,gas
hyundai,santa fe sport 2.0t,4wd,4,automatic,gas
toyota,land cruiser fj80,4wd,6,automatic,gas
ford,f350 lariat srw 4x4,rwd,4,automatic,diesel
jeep,Kenworth T680,rwd,8,automatic,diesel
mercedes-benz,gl 450 4matic,4wd,8,automatic,gas
ford,Hummer H1,fwd,4,automatic,other
subaru,Suzuki,4wd,4,automatic,gas
ram,2500 quad cab d i e,fwd,6,automatic,diesel
chevrolet,coe,rwd,8,automatic,gas
mercedes-benz,ml550,4wd,8,automatic,gas
lincoln,mkz reserve hybrid sedan,fwd,4,automatic,hybrid
ram,sable,4wd,8,automatic,gas
ford,"f-150 supercab 139"" lariat",rwd,8,manual,gas
jeep,accord,4wd,6,manual,gas
jeep,wrangler unlimited sahara 4,4wd,6,automatic,gas
chrysler,town & country touring lwb w/ sto-n-go,fwd,6,automatic,other
ford,transit cargo 350,rwd,6,automatic,gas
ford,transit passenger wagon xlt,fwd,4,automatic,gas
ram,pickup st,4wd,10,automatic,gas
audi,Isuzu NPR,rwd,4,automatic,diesel
chevrolet,box van,rwd,8,automatic,gas
bmw,5 series 535i,rwd,6,automatic,gas
jeep,yj,4wd,6,manual,gas
audi,a4 1.8t convertible 2d,fwd,4,automatic,gas
audi,a4 2.0t quattro premium,fwd,4,automatic,gas
ford,1935 Austin Nippy,rwd,4,manual,gas
lexus,is 250 base,rwd,6,automatic,gas
toyota,tacoma sr5 4x4 1/4 ton,4wd,8,automatic,gas
audi,q5 tdi premium plus sport,rwd,6,automatic,gas
ford,focus zx5,fwd,6,automatic,gas
volkswagen,freightliner cascadia,rwd,4,manual,diesel
jeep,potiac firehawk,fwd,6,automatic,gas
nissan,2006 pt cruiser,fwd,4,automatic,gas
audi,a7 3.0t quattro,4wd,6,automatic,gas
ford,expedition xlt automatic,4wd,4,automatic,gas
bmw,ierra 1500,4wd,8,automatic,gas
pontiac,g8,rwd,6,automatic,gas
volkswagen,golf tsi fwd gas auto,fwd,4,automatic,gas
bmw,z4 35i roadster 2d,rwd,4,automatic,gas
volkswagen,beetle turbo,fwd,4,automatic,gas
ford,mustang ecoboost premium,rwd,6,automatic,gas
ford,lifted f350 deisel platinum,4wd,6,automatic,diesel
chrysler,200s,fwd,6,automatic,gas
dodge,charger buy here pay,fwd,6,automatic,gas
audi,a6 3.0t quattro tiptronic,4wd,5,automatic,hybrid
chevrolet,colorado lt 4x4,4wd,5,automatic,gas
buick,encore preferred,fwd,4,automatic,gas
mercedes-benz,benz c230,rwd,8,automatic,gas
mercedes-benz,e350 sport 3.5l,rwd,6,automatic,gas
gmc,sierra slt,4wd,8,automatic,gas
tesla,model s p85d,4wd,4,automatic,electric
subaru,outback premium,4wd,4,automatic,gas
gmc,1 1/2 ton,4wd,6,automatic,gas
nissan,leaf sv hatchback 4d,4wd,8,automatic,other
mazda,STERLING L,rwd,6,manual,diesel
ford,mustang v6 2dr convertible,rwd,6,automatic,gas
rover,sport die,rwd,4,automatic,diesel
ford,2021 ISUZU NRR CREW CAB,4wd,4,automatic,diesel
chrysler,200 touring,fwd,6,automatic,other
hyundai,elantra se 4dr sedan,fwd,4,automatic,gas
toyota,prius+prime,fwd,8,automatic,gas
chevrolet,colorado lt crew cab 4wd,4wd,5,automatic,gas
hyundai,accent se sedan 4d,fwd,4,automatic,gas
ford,escape xls,fwd,8,automatic,gas
cadillac,escalade esv platinum,4wd,8,automatic,other
bmw,International Hybrid 4300,4wd,4,automatic,diesel
nissan,350z rwd,fwd,8,manual,gas
dodge,ram1500,4wd,8,automatic,gas
ram,fit,4wd,8,manual,diesel
ford,lifted f350 diesel lariat,4wd,4,automatic,diesel
ram,"2500 6"" lifted laramie crew 4x4",4wd,6,automatic,diesel
lincoln,mkz sdn awd,4wd,6,automatic,gas
hyundai,santa fe lx,4wd,6,automatic,gas
cadillac,escalade platinum awd,4wd,6,automatic,gas
acura,rdx awd,4wd,6,automatic,gas
nissan,frontier king cab s,fwd,6,automatic,gas
mercedes-benz,420,rwd,8,automatic,gas
ford,transit cargo 150,rwd,6,automatic,gas
chevrolet,tahoe lt z71,fwd,4,automatic,gas
ram,2500 megacab laramie,4wd,6,automatic,diesel
jeep,grand cherokee 4wd 4dr limited,4wd,6,automatic,gas
honda,civic sedan touring,fwd,4,automatic,gas
subaru,outback limited,4wd,4,automatic,gas
toyota,"land cruiser 1-owner*full custom build*never off road*new lift*new 33"" yokohama x-ats*new 18"" black rhino wheels*center council cooler*360 camera*chrome delete",4wd,8,automatic,gas
toyota,celica gt-s,4wd,4,automatic,gas
chrysler,Custom built,rwd,4,automatic,diesel
mercedes-benz,s 63 amg,4wd,8,automatic,gas
ford,vollkswagen,4wd,4,manual,gas
dodge,charger scat pack sedan 4d,rwd,8,automatic,gas
subaru,ISUZU NPR BOX TRUCK,rwd,8,automatic,gas
toyota,turcel sr5 4wd,4wd,4,manual,gas
dodge,challenger gt coupe 2d,rwd,6,automatic,gas
honda,accord lx-p sedan,fwd,4,automatic,gas
nissan,350z enthusiast,fwd,6,automatic,gas
toyota,t100,4wd,6,automatic,gas
audi,q5 prestige,fwd,4,automatic,gas
mini,cargo,fwd,4,automatic,gas
audi,a7 prestige sedan 4d,4wd,6,automatic,gas
chevrolet,silverado 2500 hd 3/4 ton,rwd,6,automatic,gas
chevrolet,impala limited - new tires - recently smogged -,fwd,6,automatic,gas
jeep,cherokee latitude 4wd,4wd,4,automatic,gas
chevrolet,Scion xD,4wd,6,automatic,gas
toyota,camry ce,4wd,4,automatic,gas
dodge,charger gt,rwd,6,automatic,gas
lexus,"Chevy, HHR LT",fwd,4,automatic,gas
volvo,xc40 t4 momentum sport,fwd,4,automatic,other
dodge,durango sxt 4x4,4wd,8,automatic,gas
buick,riviera,fwd,6,automatic,gas
dodge,grand caravan gt,4wd,6,automatic,gas
rover,range supercharged,fwd,8,automatic,other
gmc,IC School Bus,rwd,6,automatic,diesel
ram,equinox lt,4wd,8,manual,diesel
infiniti,fx37,4wd,8,automatic,gas
mercedes-benz,e-class 500 4ma,4wd,8,automatic,gas
ford,e-series cargo e-350 sd,fwd,8,automatic,other
honda,insight,fwd,6,automatic,hybrid
chevrolet,Sterling Acterra,fwd,4,automatic,diesel
nissan,rogue sport sv utility 4d,fwd,6,automatic,gas
hyundai,santa fe 2.4 se sport,fwd,6,automatic,gas
volvo,charger r/t scat pack,4wd,6,automatic,gas
ford,f-450 super duty lariat,4wd,8,automatic,other
bmw,645ci convertible,rwd,8,automatic,gas
ram,EQUUS,4wd,8,automatic,gas
gmc,sierra 3500 4x4 duramax,4wd,8,automatic,diesel
mini,cooper john cooper works,fwd,5,automatic,gas
ford,f150 stx 4x4 half ton gas,4wd,4,automatic,gas
bmw,x6 sdrive35i sport utility,rwd,8,automatic,other
jeep,wrangler rhd,4wd,6,automatic,gas
porsche,911 targa,rwd,6,manual,gas
lexus,gx460 luxury,4wd,8,automatic,gas
chevrolet,silverado 3500hd high,4wd,8,automatic,diesel
chevrolet,equinox ltz awd,4wd,4,automatic,gas
volkswagen,jetta se pzev,fwd,5,manual,gas
rover,hse lux,fwd,8,automatic,gas
nissan,sentra sedan,4wd,4,automatic,gas
audi,q3 2.0t premium plus,4wd,4,automatic,gas
ford,f150 4door 4x4,4wd,8,automatic,gas
buick,apollo,rwd,6,automatic,gas
gmc,INTERNATIONAL SCHOOL BUS,rwd,8,automatic,diesel
chrysler,pt cruiser touring,fwd,4,automatic,gas
jeep,saab 900,rwd,6,manual,gas
ram,1987 f150,4wd,8,automatic,gas
subaru,1967 capris Supersport,fwd,6,automatic,gas
jeep,cherokee limited 4x4,4wd,8,automatic,gas
chevrolet,cb,rwd,8,manual,gas
lincoln,mark viii lsc 2 door,rwd,8,automatic,gas
audi,a5 premium plus sedan 4d,4wd,6,automatic,gas
chevrolet,lifted silverado 3500,4wd,8,automatic,diesel
jaguar,f-pace 25t premium,4wd,4,automatic,gas
ram,forester,4wd,8,automatic,diesel
mazda,golf sportwagen,fwd,3,automatic,gas
honda,Genesis G70 2.0T automatic,rwd,4,automatic,gas
porsche,911 carrera,rwd,6,automatic,gas
toyota,Maserati Ghibli,4wd,8,automatic,gas
rover,camry,4wd,6,automatic,gas
toyota,tacoma v6 1-oregon owner*zero rust*4x4*trd off road*45 service records*like new in&out*rear lockers*never off road*zero accidents,4wd,6,automatic,gas
chrysler,town and country lxi,fwd,6,automatic,gas
mercedes-benz,benz ml350 4matic,4wd,6,automatic,gas
ford,super duty f-450 drw cab-chassis,4wd,10,automatic,gas
lexus,lx 470 4dr suv,4wd,8,automatic,gas
dodge,2015 peterbilt,fwd,8,manual,other
chevrolet,tahoe ltz 4x4,4wd,8,automatic,gas
pontiac,grand prix gt,fwd,6,automatic,gas
dodge,CHEVEROLET TRAILBLAZER,4wd,6,automatic,gas
nissan,"Isuzu NPR, CAB & CHASSIS",rwd,8,automatic,gas
lincoln,town car executive,4wd,8,automatic,gas
dodge,mdx sh-awd w/technology,4wd,4,automatic,gas
ford,School Bus,rwd,8,automatic,diesel
ford,focus se sedan,fwd,4,automatic,gas
mitsubishi,"ALL MAKES, ALL MODELS",rwd,8,automatic,gas
chevrolet,romeo giulia sedan 4d,fwd,6,automatic,other
volvo,1973 Opel GT,rwd,4,manual,gas
chevrolet,lifted silverado 1500,4wd,6,automatic,gas
mazda,mazda6 sport sedan 4d,fwd,4,automatic,gas
lexus,is 200t,rwd,6,automatic,gas
honda,AMC Rambler,4wd,6,automatic,other
mazda,protege sdn lx auto,4wd,4,automatic,gas
toyota,Mack,rwd,6,manual,diesel
ford,edge se,4wd,4,automatic,gas
audi,s6,4wd,8,automatic,gas
subaru,forester awd 2.5i limited,4wd,4,automatic,gas
audi,touring,fwd,6,automatic,gas
acura,mdx sh-awd w/sport w/res,4wd,6,automatic,gas
chrysler,300c 5.7 hemi,rwd,8,automatic,gas
toyota,highlander hybrid,4wd,6,automatic,hybrid
chevrolet,ii,rwd,6,manual,gas
saturn,vue i4,4wd,4,automatic,gas
cadillac,ats 3.6l premium,rwd,6,automatic,gas
toyota,UD 2600,fwd,6,automatic,diesel
ford,ecosport titanium awd,fwd,4,automatic,gas
mercedes-benz,c230 kompressor,rwd,4,automatic,gas
ram,focus se,fwd,6,automatic,other
ford,transit connect van,fwd,6,automatic,gas
cadillac,el dorado,fwd,4,automatic,gas
cadillac,Janesville,4wd,4,automatic,gas
toyota,PROGRAMS as little as $500 DOWN!,rwd,3,automatic,gas
ford,fusion titanium,4wd,4,automatic,gas
chevrolet,silverado 150 z71,4wd,8,automatic,gas
mercedes-benz,cla-class cla 45,rwd,8,automatic,other
jeep,grand cherokee 4x4,4wd,6,automatic,gas
honda,f-150,4wd,4,automatic,gas
ford,excursion xlt sport utilit,4wd,8,automatic,gas
cadillac,escalade luxury sport,rwd,8,automatic,gas
chevrolet,custom,4wd,8,manual,gas
chrysler,Scion FR-S Release Series 2.0,rwd,6,automatic,gas
lexus,es 350 luxury sedan 4d,fwd,6,automatic,other
toyota,Hino 258lp,rwd,6,automatic,diesel
nissan,murano fwd 4dr sv,fwd,6,automatic,gas
nissan,juke sl,4wd,4,automatic,gas
toyota,sienna xle minivan 4d,fwd,6,automatic,gas
pontiac,lemans,rwd,8,automatic,gas
toyota,86 gt,rwd,4,automatic,gas
ram,1500 sltcrew cab,4wd,8,automatic,gas
gmc,arcadia,4wd,8,automatic,gas
bmw,TLX,fwd,6,automatic,gas
bmw,x5 xdrive 35i,4wd,6,automatic,gas
ram,2015,4wd,8,automatic,diesel
ford,phaeton,rwd,8,manual,gas
chevrolet,SUBARU* IMPREZA*,4wd,4,automatic,gas
infiniti,ex35,rwd,6,automatic,gas
chevrolet,traverse lt sport,fwd,6,automatic,gas
jeep,chevelle,4wd,4,automatic,gas
toyota,4runner limited 4dr limited,4wd,6,automatic,gas
infiniti,q50 2.0t luxe sedan 4d,fwd,4,automatic,other
gmc,terrain denali awd,4wd,4,automatic,gas
gmc,canyon slt,4wd,6,automatic,gas
honda,cr-v ex-l w/navigation,rwd,8,automatic,gas
honda,civic se sedan 4d,4wd,4,automatic,gas
bmw,x2 sdrive28i sport utility,fwd,6,automatic,other
dodge,caliber sxt,fwd,4,automatic,gas
nissan,JUST TOO EASY!,fwd,6,automatic,gas
porsche,cayenne turbo awd,4wd,8,automatic,gas
chevrolet,mustang ecoboost,4wd,8,automatic,gas
ford,f150 4wd,4wd,6,automatic,gas
kia,k900 luxury sedan 4d,fwd,6,automatic,gas
fiat,x1/9,rwd,4,manual,gas
ram,SAAB 9-3,fwd,4,automatic,gas
ram,eos komfort,4wd,6,automatic,gas
ford,many,rwd,10,automatic,gas
nissan,leaf sl hatchback 4d,fwd,8,automatic,hybrid
bmw,5-series,4wd,6,automatic,gas
chevrolet,volt lt sedan 4d,fwd,8,automatic,gas
ford,f250 lariat,4wd,4,manual,diesel
honda,accord lx special,rwd,4,manual,gas
toyota,camery,fwd,4,automatic,gas
ford,flex sel sport utility 4d,fwd,6,automatic,other
lincoln,markvll,rwd,8,automatic,gas
volkswagen,arteon sel r-line,fwd,8,automatic,gas
chevrolet,cruze ls auto 4dr sed,rwd,6,automatic,gas
ford,mustang roush,rwd,8,manual,gas
honda,accord touring sedan 4d,fwd,6,automatic,gas
jaguar,xf 3.0 l,4wd,8,automatic,gas
toyota,avalon limited sedan 4d,fwd,6,automatic,gas
ford,flex sel awd,4wd,6,automatic,gas
bmw,745i,rwd,8,automatic,gas
acura,- PROMASTER CITY,4wd,6,automatic,gas
ford,f-250 king ranch,4wd,8,automatic,diesel
mazda,cx-3,4wd,4,automatic,gas
gmc,sierra 3500hd denali duramax,4wd,10,automatic,diesel
jaguar,xf portfolio sedan 4d,rwd,8,automatic,gas
chevrolet,silverado 2500hd flatbed,4wd,8,automatic,gas
toyota,acadia,fwd,4,automatic,other
honda,"accord lx , v6",fwd,6,automatic,gas
nissan,nv,rwd,6,automatic,gas
bmw,325ci,fwd,8,automatic,gas
dodge,grand caravan hero,4wd,4,automatic,gas
ford,escort se,fwd,4,automatic,gas
audi,1947 DIVCO MILK TRUCK,rwd,8,automatic,gas
audi,q5 2.0t premium sport,fwd,6,automatic,other
mercedes-benz,mercedes-amg gle,4wd,8,automatic,gas
gmc,sierra 1500 sle1,4wd,8,automatic,gas
ford,taurus limited 4dr sedan,4wd,4,automatic,gas
chevrolet,monte carlo ls,fwd,6,automatic,gas
ford,explorer sport trac 4dr 126,4wd,8,automatic,other
audi,q5 3.2 premium plus,4wd,6,automatic,gas
volvo,f150 xlt 4x4 half ton gas,4wd,4,manual,gas
ram,Genesis G80,rwd,8,automatic,gas
bmw,7series,fwd,8,automatic,gas
bmw,x1 28i sport line pkg,fwd,4,automatic,gas
volvo,xc90t6 awd 24733 miles,4wd,8,automatic,gas
porsche,911 2dr cabriolet,4wd,6,automatic,gas
ford,smart fortwo Passion Hatchback,rwd,4,automatic,gas
acura,rlx adance,fwd,6,automatic,gas
gmc,sierra 1500 sltextended,4wd,8,automatic,gas
ram,cummin 2500 bighorn,4wd,4,automatic,diesel
jeep,liberty crd,4wd,4,automatic,diesel
ford,f-250 diesel truck 6.7l lariat ext cab long bed,4wd,8,automatic,diesel
acura,rdx technology pkg,fwd,10,automatic,gas
ford,Scion xD Hatchback 4D,fwd,4,automatic,gas
ford,windstar,fwd,6,automatic,gas
porsche,panamera,4wd,4,automatic,gas
buick,enclave avenir,4wd,4,automatic,gas
dodge,ISUZU ASCENDER,4wd,8,automatic,gas
infiniti,JEEP* RENEGADE*,4wd,4,manual,gas
chevrolet,Scion FR-S Release Series 2.0,rwd,6,automatic,gas
gmc,escape,rwd,8,automatic,gas
audi,Hummer H3 Luxury Edition,4wd,6,automatic,gas
audi,a4 4wd,4wd,4,automatic,gas
jeep,liberty limited jet 4x4,4wd,6,automatic,gas
ford,ranger xlt sport,4wd,4,automatic,gas
toyota,tacoma offroad,4wd,6,automatic,gas
chrysler,300 limited,rwd,8,automatic,gas
lexus,rx 350 f sport,4wd,6,automatic,gas
hyundai,veloster value edition,fwd,4,automatic,gas
nissan,nv200 sv,rwd,6,automatic,gas
lexus,hs,fwd,4,automatic,hybrid
rover,sonata,fwd,8,automatic,gas
infiniti,m35x,4wd,6,automatic,gas
gmc,acadia slt1/nav+tech 4x4,4wd,6,automatic,gas
fiat,124 spider,rwd,4,manual,gas
ford,t-bird,rwd,8,automatic,gas
gmc,sierra extended cab 4x4,4wd,8,automatic,gas
chrysler,"200 series lx new tires 136k heated seats kbb $6,508",fwd,6,automatic,other
audi,a6 2.0t premium,rwd,4,automatic,gas
chevrolet,trailblazer 4wd.,4wd,6,automatic,gas
gmc,yukon sle suv,rwd,8,automatic,gas
jeep,1999 Suzuki Grand Vitara,4wd,4,automatic,gas
acura,mdx basesuv,4wd,6,automatic,gas
ford,f150xlt,4wd,8,automatic,gas
fiat,500 pop hatchback 2d,fwd,6,automatic,other
lexus,gs 430,rwd,8,automatic,gas
nissan,sentra ser,fwd,4,manual,gas
ram,promaster 2500 cargo 159 wb,fwd,6,automatic,gas
jeep,grand cherokee laredo awd,4wd,6,automatic,gas
toyota,tacoma trd prerunner,rwd,6,automatic,gas
jeep,grand cherokee limited 4wd,4wd,8,automatic,gas
bmw,330xi xdrive awd sport sedan,fwd,8,automatic,gas
ford,transit cargo 250 3dr swb l,4wd,6,automatic,gas
bmw,3 series 335is 2dr,fwd,6,automatic,gas
ford,escape se ecobooost awd,fwd,4,automatic,gas
mercedes-benz,cruze 1lt,fwd,8,automatic,other
ford,e 250 super duty,4wd,8,automatic,gas
volkswagen,atlas se r-line,rwd,6,automatic,gas
lexus,es 300h base,fwd,4,automatic,hybrid
mercedes-benz,benz sprinter 3500,4wd,6,automatic,diesel
jaguar,s-type,rwd,6,automatic,gas
lincoln,International TerraStar,rwd,8,automatic,diesel
nissan,Scion xB,fwd,4,automatic,gas
nissan,Isuzu,4wd,4,automatic,diesel
lexus,ls 400,rwd,8,automatic,gas
ford,expedtion,rwd,8,automatic,gas
gmc,acadia awd,4wd,6,automatic,gas
chevrolet,1992 g10 van,4wd,6,automatic,gas
honda,hr-v sport awd,4wd,4,automatic,gas
lexus,rx400h,4wd,6,automatic,hybrid
chevrolet,International 4300,rwd,8,automatic,diesel
ford,FOERD EDGE,4wd,6,automatic,gas
honda,fit sport,4wd,6,automatic,gas
volvo,xc60 local lots of records,fwd,6,automatic,gas
toyota,International 4300,fwd,6,automatic,diesel
kia,stinger premium,rwd,4,automatic,gas
bmw,3 series 320i,rwd,8,automatic,gas
chevrolet,camaro iroc z28,rwd,8,automatic,gas
volkswagen,golf tdi sel,fwd,6,automatic,diesel
honda,pilot lx,fwd,6,automatic,gas
chevrolet,express conversion van,rwd,8,automatic,gas
ford,utility truck service truck,rwd,6,automatic,gas
nissan,Corvette,4wd,8,automatic,gas
ram,1500 sport 4x2 regular cab 6,4wd,8,automatic,other
subaru,impreza awd gas wagon,fwd,6,manual,gas
gmc,sierra 1550,rwd,4,automatic,gas
bmw,325xi awd,fwd,6,automatic,gas
volkswagen,2002,rwd,8,automatic,gas
infiniti,hino 258,fwd,4,automatic,diesel
porsche,boxter,fwd,4,manual,gas
toyota,FULL SIZE,4wd,6,automatic,gas
jeep,gladiator sport pickup 4d 5,4wd,6,automatic,gas
chevrolet,CX-3,fwd,4,automatic,gas
audi,r8 v10 quattro,4wd,10,automatic,gas
bmw,m3 coupe,rwd,8,automatic,gas
buick,mgb roadster,rwd,4,manual,gas
ford,IH Flatbed,rwd,6,manual,gas
chevrolet,r10,4wd,6,automatic,gas
hyundai,mercedez benz,rwd,6,automatic,gas
chrysler,royal,fwd,8,automatic,gas
nissan,truck,rwd,4,manual,gas
kia,ALL,fwd,6,automatic,gas
ram,1500 slt 4x4 1/2 ton,4wd,6,automatic,gas
bmw,x4 m40i sport utility 4d,4wd,6,automatic,other
cadillac,xt5 sport suv 4d,4wd,6,automatic,gas
chevrolet,captiva sport,fwd,4,automatic,gas
ford,peterbilt 579,rwd,8,manual,gas
subaru,outback 3.6r limited,4wd,6,automatic,gas
chevrolet,aveo lt,fwd,4,automatic,gas
nissan,titan sv,4wd,8,automatic,gas
ford,"2018,2017,2016,2015 MODELS",fwd,4,automatic,gas
honda,Scion iM Hatchback 4D,fwd,8,automatic,gas
subaru,international travelall,4wd,8,automatic,gas
ford,"GMC, Ford, Freightliner & More",4wd,8,automatic,diesel
pontiac,firebird trans am,rwd,4,automatic,gas
cadillac,ats coupe 2d,rwd,6,automatic,gas
ford,ranger supercab lariat,4wd,4,automatic,gas
buick,verano premium group,fwd,6,automatic,other
